split,class_name,npy_path,wav_path
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC107048.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC107048.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC113480.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC113480.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC115595.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC115595.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC152950.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC152950.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC172086.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC172086.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC205530.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC205530.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC218753.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC218753.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC218757.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC218757.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC218769.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC218769.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC218775.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC218775.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC330135.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC330135.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC342798.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC342798.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC36320.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC36320.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC383642.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC383642.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC398876.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC398876.mp3
test,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC430003.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC430003.mp3
