split,class_name,npy_path,wav_path
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC216985.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC216985.mp3
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC218773.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC218773.mp3
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC144148.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC144148.mp3
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC489922.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC489922.mp3
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC437867.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC437867.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC179499.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC179499.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC177264.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC177264.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC161891.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC161891.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC54303.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC54303.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC113375.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC113375.mp3
train,Accipiter gentilis_Northern Goshawk,../../Datasets/BirdClef/features/Accipiter gentilis_Northern Goshawk/XC331689.npy,../../Datasets/BirdClef/audio/Accipiter gentilis_Northern Goshawk/XC331689.mp3
train,Accipiter gentilis_Northern Goshawk,../../Datasets/BirdClef/features/Accipiter gentilis_Northern Goshawk/XC405652.npy,../../Datasets/BirdClef/audio/Accipiter gentilis_Northern Goshawk/XC405652.mp3
train,Accipiter gentilis_Northern Goshawk,../../Datasets/BirdClef/features/Accipiter gentilis_Northern Goshawk/XC425339.npy,../../Datasets/BirdClef/audio/Accipiter gentilis_Northern Goshawk/XC425339.mp3
train,Accipiter gentilis_Northern Goshawk,../../Datasets/BirdClef/features/Accipiter gentilis_Northern Goshawk/XC426223.npy,../../Datasets/BirdClef/audio/Accipiter gentilis_Northern Goshawk/XC426223.mp3
