split,class_name,npy_path,wav_path
train,Acoustic_guitar,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Acoustic_guitar/6fdb913f.npy,../../Datasets/FSDKaggle2018/Sorted/Acoustic_guitar/6fdb913f.wav
train,Applause,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Applause/28d634e9.npy,../../Datasets/FSDKaggle2018/Sorted/Applause/28d634e9.wav
train,Bark,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Bark/1e5fd361.npy,../../Datasets/FSDKaggle2018/Sorted/Bark/1e5fd361.wav
train,Bass_drum,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Bass_drum/f65291ce.npy,../../Datasets/FSDKaggle2018/Sorted/Bass_drum/f65291ce.wav
train,Burping_or_eructation,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Burping_or_eructation/ec988f2f.npy,../../Datasets/FSDKaggle2018/Sorted/Burping_or_eructation/ec988f2f.wav
train,Bus,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Bus/d2d8e2d8.npy,../../Datasets/FSDKaggle2018/Sorted/Bus/d2d8e2d8.wav
train,Cello,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Cello/ff875923.npy,../../Datasets/FSDKaggle2018/Sorted/Cello/ff875923.wav
train,Chime,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Chime/a4c78d41.npy,../../Datasets/FSDKaggle2018/Sorted/Chime/a4c78d41.wav
train,Clarinet,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Clarinet/5bdb30ae.npy,../../Datasets/FSDKaggle2018/Sorted/Clarinet/5bdb30ae.wav
train,Computer_keyboard,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Computer_keyboard/82eec9f2.npy,../../Datasets/FSDKaggle2018/Sorted/Computer_keyboard/82eec9f2.wav
train,Cough,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Cough/430902a2.npy,../../Datasets/FSDKaggle2018/Sorted/Cough/430902a2.wav
train,Cowbell,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Cowbell/36c81c76.npy,../../Datasets/FSDKaggle2018/Sorted/Cowbell/36c81c76.wav
train,Double_bass,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Double_bass/e8d6b248.npy,../../Datasets/FSDKaggle2018/Sorted/Double_bass/e8d6b248.wav
train,Drawer_open_or_close,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Drawer_open_or_close/3bc32fc8.npy,../../Datasets/FSDKaggle2018/Sorted/Drawer_open_or_close/3bc32fc8.wav
train,Electric_piano,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Electric_piano/d5ab8880.npy,../../Datasets/FSDKaggle2018/Sorted/Electric_piano/d5ab8880.wav
train,Fart,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Fart/19f8e665.npy,../../Datasets/FSDKaggle2018/Sorted/Fart/19f8e665.wav
train,Finger_snapping,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Finger_snapping/051138fc.npy,../../Datasets/FSDKaggle2018/Sorted/Finger_snapping/051138fc.wav
train,Fireworks,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Fireworks/81c569b4.npy,../../Datasets/FSDKaggle2018/Sorted/Fireworks/81c569b4.wav
train,Flute,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Flute/b0efba86.npy,../../Datasets/FSDKaggle2018/Sorted/Flute/b0efba86.wav
train,Glockenspiel,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Glockenspiel/f6d42b78.npy,../../Datasets/FSDKaggle2018/Sorted/Glockenspiel/f6d42b78.wav
train,Gong,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Gong/91b8d1f5.npy,../../Datasets/FSDKaggle2018/Sorted/Gong/91b8d1f5.wav
train,Gunshot_or_gunfire,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Gunshot_or_gunfire/7a20c7f1.npy,../../Datasets/FSDKaggle2018/Sorted/Gunshot_or_gunfire/7a20c7f1.wav
train,Harmonica,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Harmonica/686bbe8b.npy,../../Datasets/FSDKaggle2018/Sorted/Harmonica/686bbe8b.wav
train,Hi-hat,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Hi-hat/844da63b.npy,../../Datasets/FSDKaggle2018/Sorted/Hi-hat/844da63b.wav
train,Keys_jangling,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Keys_jangling/0b5ea11d.npy,../../Datasets/FSDKaggle2018/Sorted/Keys_jangling/0b5ea11d.wav
train,Knock,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Knock/7c5c7267.npy,../../Datasets/FSDKaggle2018/Sorted/Knock/7c5c7267.wav
train,Laughter,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Laughter/585462e1.npy,../../Datasets/FSDKaggle2018/Sorted/Laughter/585462e1.wav
train,Meow,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Meow/a0715eb8.npy,../../Datasets/FSDKaggle2018/Sorted/Meow/a0715eb8.wav
train,Microwave_oven,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Microwave_oven/29b51ca2.npy,../../Datasets/FSDKaggle2018/Sorted/Microwave_oven/29b51ca2.wav
train,Oboe,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Oboe/590dde92.npy,../../Datasets/FSDKaggle2018/Sorted/Oboe/590dde92.wav
train,Saxophone,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Saxophone/84b28400.npy,../../Datasets/FSDKaggle2018/Sorted/Saxophone/84b28400.wav
train,Scissors,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Scissors/0afcf36b.npy,../../Datasets/FSDKaggle2018/Sorted/Scissors/0afcf36b.wav
train,Shatter,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Shatter/b72a4184.npy,../../Datasets/FSDKaggle2018/Sorted/Shatter/b72a4184.wav
train,Snare_drum,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Snare_drum/d94f825c.npy,../../Datasets/FSDKaggle2018/Sorted/Snare_drum/d94f825c.wav
train,Squeak,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Squeak/d02be75c.npy,../../Datasets/FSDKaggle2018/Sorted/Squeak/d02be75c.wav
train,Tambourine,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Tambourine/e2781446.npy,../../Datasets/FSDKaggle2018/Sorted/Tambourine/e2781446.wav
train,Tearing,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Tearing/602f68bf.npy,../../Datasets/FSDKaggle2018/Sorted/Tearing/602f68bf.wav
train,Telephone,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Telephone/9f0a1a08.npy,../../Datasets/FSDKaggle2018/Sorted/Telephone/9f0a1a08.wav
train,Trumpet,../../Datasets/FSDKaggle2018/Spec_5_second_npy/Trumpet/07211dfa.npy,../../Datasets/FSDKaggle2018/Sorted/Trumpet/07211dfa.wav
