split,class_name,npy_path,wav_path
test,id10001,../../Datasets/VoxCeleb1_features/id10001/00001.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00001.wav
test,id10001,../../Datasets/VoxCeleb1_features/id10001/00002.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00002.wav
test,id10001,../../Datasets/VoxCeleb1_features/id10001/00005.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00005.wav
test,id10001,../../Datasets/VoxCeleb1_features/id10001/00016.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00016.wav
test,id10001,../../Datasets/VoxCeleb1_features/id10001/00018.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00018.wav
test,id10002,../../Datasets/VoxCeleb1_features/id10002/00014.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00014.wav
test,id10002,../../Datasets/VoxCeleb1_features/id10002/00018.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00018.wav
test,id10002,../../Datasets/VoxCeleb1_features/id10002/00019.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00019.wav
test,id10002,../../Datasets/VoxCeleb1_features/id10002/00022.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00022.wav
test,id10002,../../Datasets/VoxCeleb1_features/id10002/00023.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00023.wav
test,id10002,../../Datasets/VoxCeleb1_features/id10002/00027.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00027.wav
test,id10002,../../Datasets/VoxCeleb1_features/id10002/00036.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00036.wav
test,id10003,../../Datasets/VoxCeleb1_features/id10003/00020.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00020.wav
test,id10003,../../Datasets/VoxCeleb1_features/id10003/00023.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00023.wav
test,id10003,../../Datasets/VoxCeleb1_features/id10003/00029.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00029.wav
test,id10003,../../Datasets/VoxCeleb1_features/id10003/00030.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00030.wav
test,id10003,../../Datasets/VoxCeleb1_features/id10003/00034.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00034.wav
test,id10003,../../Datasets/VoxCeleb1_features/id10003/00036.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00036.wav
test,id10003,../../Datasets/VoxCeleb1_features/id10003/00037.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00037.wav
test,id10003,../../Datasets/VoxCeleb1_features/id10003/00039.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00039.wav
test,id10003,../../Datasets/VoxCeleb1_features/id10003/00044.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00044.wav
test,id10004,../../Datasets/VoxCeleb1_features/id10004/00005.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00005.wav
test,id10004,../../Datasets/VoxCeleb1_features/id10004/00016.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00016.wav
test,id10004,../../Datasets/VoxCeleb1_features/id10004/00017.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00017.wav
test,id10004,../../Datasets/VoxCeleb1_features/id10004/00019.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00019.wav
test,id10004,../../Datasets/VoxCeleb1_features/id10004/00022.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00022.wav
